time,global step,score
00h 00m 05s,24385,1.0
00h 00m 05s,24394,0.0
00h 00m 05s,24410,0.0
00h 00m 05s,24438,0.0
00h 00m 05s,24496,0.0
00h 00m 05s,24506,0.0
00h 00m 05s,24597,0.0
00h 00m 05s,24602,1.0
00h 00m 05s,24619,1.0
00h 00m 05s,24677,0.0
00h 00m 05s,24692,1.0
00h 00m 05s,24758,1.0
00h 00m 05s,24773,1.0
00h 00m 05s,24815,0.0
00h 00m 05s,24866,0.0
00h 00m 05s,24870,0.0
00h 00m 05s,24873,0.0
00h 00m 05s,24882,0.0
00h 00m 05s,24896,0.0
00h 00m 05s,24933,2.0
00h 00m 05s,24956,0.0
00h 00m 05s,24986,0.0
00h 00m 05s,24994,0.0
00h 00m 05s,24995,0.0
00h 00m 05s,25003,0.0
00h 00m 05s,25044,0.0
00h 00m 05s,25070,0.0
00h 00m 05s,25158,0.0
00h 00m 05s,25191,0.0
00h 00m 05s,25198,0.0
